"player_id","name","height_in","weight","position"
"1627732","Ben Simmons","82","240","Guard-Forward"
"1629014","Anfernee Simons","75","200","Guard"
"1642354","KJ Simpson","72","189","Guard"
"1630579","Jericho Sims","82","250","Center"
"203935","Marcus Smart","75","220","Guard"
"1630696","Dru Smith","74","203","Guard"
"1630188","Jalen Smith","81","215","Forward-Center"
"1642449","Tolu Smith","83","","Forward"
"1641890","Tyler Smith","81","224","Forward"
"1631095","Jabari Smith Jr.","82","220","Forward"
"1641733","Nick Smith Jr.","74","185","Guard"
"1631110","Jeremy Sochan","80","230","Forward"
"1642285","Cam Spencer","76","205","Guard"
"1630311","Pat Spencer","75","205","Guard"
"1630531","Jaden Springer","76","202","Guard"
"1641815","Isaiah Stevens","72","185","Guard"
"1630205","Lamar Stevens","79","230","Forward"
"1630191","Isaiah Stewart","80","250","Forward-Center"
"1631124","Julian Strawther","78","205","Guard"
"1629622","Max Strus","77","215","Guard-Forward"
"1630591","Jalen Suggs","77","205","Guard"
"1631306","Cole Swider","80","220","Forward"
"1630256","Jae'Sean Tate","76","230","Forward"
"1628369","Jayson Tatum","80","210","Forward-Guard"
"202066","Garrett Temple","77","195","Guard-Forward"
"1631207","Dalen Terry","79","195","Forward"
"1628464","Daniel Theis","80","245","Forward-Center"
"1630560","Cam Thomas","75","210","Guard"
"1641708","Amen Thompson","79","200","Guard-Forward"
"1641709","Ausar Thompson","78","205","Guard-Forward"
"1630679","Ethan Thompson","77","195","Guard"
"202691","Klay Thompson","77","220","Guard"
"202684","Tristan Thompson","81","254","Center-Forward"
"1630550","JT Thor","81","203","Forward"
"1629680","Matisse Thybulle","77","201","Guard-Forward"
"1630214","Xavier Tillman","79","245","Forward"
"1641772","Nae'Qwan Tomlin","82","210","Forward"
"1642260","Nikola Topić","78","200","Guard"
"1631210","Jacob Toppin","80","200","Forward"
"1630167","Obi Toppin","81","220","Forward"
"1626157","Karl-Anthony Towns","84","248","Center-Forward"
"1642422","Armel Traoré","81","245","Forward"
"1631247","Luke Travers","79","207","Forward"
"1629018","Gary Trent Jr.","77","204","Guard"
"1631131","Oscar Tshiebwe","80","255","Forward-Center"
"1626167","Myles Turner","83","250","Center-Forward"
"1641816","Hunter Tyson","80","215","Forward"
"1642281","Jaylon Tyson","78","215","Guard-Forward"
"1630649","Stanley Umude","78","210","Guard"
"202685","Jonas Valančiūnas","83","265","Center"
"1627832","Fred VanVleet","72","197","Guard"
"1629020","Jarred Vanderbilt","80","214","Forward"
"1630170","Devin Vassell","77","200","Guard-Forward"
"1629216","Gabe Vincent","74","200","Guard"
"1641774","Tristan Vukcevic","84","220","Forward"
"202696","Nikola Vučević","82","260","Center"
"1629731","Dean Wade","81","228","Forward-Center"
"1630532","Franz Wagner","82","220","Forward"
